R4 人口動態統計 上巻 離婚 第１０．５表 年次別にみた同居期間別離婚件数及び百分率並びに平均同居期間
year,total,~5,~1,1~2,2~3,3~4,4~5,5~10,10~15,15~20,20~25,25~30,30~35,35~
1947,100,61.2,14.1,14.7,10.9,12.2,9.3,23.4,8.5,3.8,3.1,NaN,NaN,NaN
1950,100,65.3,17.2,18.5,14.1,9.6,5.9,18,8.8,4.4,3.5,NaN,NaN,NaN
1955,100,53.8,14.9,13.2,10.1,8.3,7.4,26.4,10.2,5.2,4.3,NaN,NaN,NaN
1960,100,54,16.4,13.4,9.9,7.7,6.6,22.1,14,5.5,4.4,NaN,NaN,NaN
1965,100,54.4,16.3,12.8,10.1,8.3,7,22.5,11.8,7,4.4,NaN,NaN,NaN
1970,100,51.8,15.2,11.7,9.6,8.1,7.2,24.4,12.4,6.1,5.3,NaN,NaN,NaN
1975,100,49.4,12.5,11,9.9,8.6,7.3,24.2,13.7,6.9,3.4,1.6,0.5,0.3
1980,100,37.3,9.2,8.1,7.2,6.5,6.2,27.7,17.3,10,4.7,1.9,0.8,0.3
1985,100,34,7.6,7.7,7.1,6.3,5.3,21.3,19.5,13,7.7,2.9,1.1,0.7
1990,100,38.1,8.4,9.2,7.9,6.7,6,21.2,14.1,12.7,8.2,3.7,1.3,0.8
1995,100,39.5,7.7,9.3,8.5,7.5,6.5,21.2,13,9.9,9.2,4.5,1.8,0.9
2000,100,37.9,6.9,8.6,8.3,7.5,6.7,23,13,9.6,7.4,5.3,2.3,1.5
2001,100,37.5,6.7,8.5,8.2,7.5,6.7,23.8,13.4,9.6,6.9,4.9,2.3,1.6
2002,100,36.1,6.7,8.3,7.8,7,6.3,23.4,14.1,9.9,7.4,4.9,2.5,1.7
2003,100,35.8,6.3,8.1,8.1,7.2,6.2,23.2,14.5,9.9,7.5,4.7,2.6,1.8
2004,100,36.6,6.7,8,7.9,7.4,6.5,22.9,14.3,9.9,7.4,4.5,2.6,1.8
2005,100,36.5,6.7,8.1,7.8,7.3,6.7,23.1,14.1,10,7.4,4.3,2.6,1.9
2006,100,36.8,7.1,8,7.8,7.1,6.7,23.8,14.2,9.7,7,4.1,2.4,1.9
2007,100,35.9,7.1,8.1,7.5,6.9,6.2,23.4,14,10,7.4,4.5,2.6,2.3
2008,100,35.7,7.1,8.1,7.6,6.7,6.2,23.3,14.2,10.3,7.2,4.5,2.5,2.3
2009,100,35.6,7,8.2,7.7,6.8,6,22.6,14.4,10.5,7.3,4.6,2.5,2.5
2010,100,35,6.6,7.9,7.5,6.8,6.1,22.6,14.7,10.8,7.4,4.5,2.4,2.6
2011,100,34.8,6.6,7.7,7.5,6.8,6.2,22.3,14.9,10.9,7.5,4.6,2.4,2.7
2012,100,34.5,6.6,7.6,7.3,6.8,6.3,22,15,11.1,7.9,4.6,2.3,2.7
2013,100,34.2,6.6,7.6,7.1,6.7,6.2,22.3,15,10.9,7.9,4.5,2.4,2.8
2014,100,33.8,6.5,7.6,7.2,6.5,6,22.4,14.9,11.1,8,4.5,2.4,2.8
2015,100,33.8,6.5,7.7,7.2,6.5,5.8,22.2,14.6,11.3,8,4.7,2.5,2.9
2016,100,33.6,6.5,7.6,7.2,6.6,5.8,21.9,14.6,11.4,8.3,4.8,2.5,2.9
2017,100,33.5,6.5,7.7,7.2,6.4,5.7,21.3,14.2,11.6,8.7,5.1,2.5,3
2018,100,33.4,6.3,7.5,7.3,6.5,5.8,21,14.2,11.6,8.8,5.3,2.6,3.2
2019,100,32.9,6.1,7.5,7,6.5,5.8,20.6,14,11.7,9.2,5.6,2.7,3.3
2020,100,32.5,6.1,7.4,7,6.4,5.7,20.2,14.1,11.6,9.6,5.8,2.8,3.4
2021,100,31.7,5.7,7.4,7,6.1,5.5,19.9,14.2,11.5,9.8,6.3,2.9,3.7
2022,100,31.7,5.4,6.8,7.2,6.7,5.6,19.9,13.6,11.4,9.9,6.5,3.1,4
