R4 人口動態統計 上巻 婚姻 第９．７表−１ 結婚生活に入ったときの年齢（５歳階級）別にみた初婚−再婚・夫−妻・年次別婚姻件数 （各届出年に結婚生活に入り届け出たもの）【初婚・夫】
year,total,~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~ 
1947,426348,12726,154852,203364,44759,6483,1825,804,348,183,94,46,25,NaN,NaN
1950,298124,7526,123730,136090,24265,4139,1143,562,309,154,81,35,24,NaN,NaN
1955,393252,2812,113355,232903,37926,4390,1044,417,195,121,47,24,14,4,NaN
1960,533963,2147,122894,327491,71090,7972,1418,498,196,122,73,31,15,16,NaN
1965,669209,2637,169498,384668,95901,12793,2504,648,269,108,106,51,16,10,NaN
1970,799637,5811,221545,451864,101083,14377,3196,853,298,129,64,35,18,19,NaN
1975,769670,5077,210292,430929,104611,14325,3083,849,243,106,39,27,25,21,NaN
1980,634352,5304,137768,325327,142437,18875,3330,856,270,93,33,24,11,12,NaN
1985,601673,6577,126761,288236,138164,34783,5317,1229,359,149,54,23,4,8,NaN
1990,581650,7683,118866,274447,129444,37101,10893,2225,623,227,95,24,9,6,NaN
1995,635178,8693,136347,287105,140354,42848,13516,4777,1043,292,118,45,13,9,NaN
2000,614968,10745,117347,284162,135078,44912,13490,5789,2453,659,218,72,28,9,NaN
2001,610753,10851,111105,277972,141785,44713,14029,6006,3045,832,273,99,23,14,NaN
2002,573955,9912,100108,255777,140839,44282,13561,5556,2755,766,262,78,32,22,NaN
2003,551784,8790,90900,237641,143501,46997,14295,5511,2722,999,293,79,30,23,NaN
2004,527122,7619,84261,218898,142741,48146,15196,5851,2861,1073,326,91,37,22,NaN
2005,515916,6789,79730,208908,143700,50031,15976,6026,2919,1304,380,96,37,18,NaN
2006,520173,6616,80039,205205,145187,54867,16978,6216,2926,1570,375,124,39,21,8
2007,506470,6549,76358,196834,140647,57224,17707,6205,2740,1564,461,119,38,17,5
2008,508367,6497,75677,195186,139868,60578,18979,6566,2751,1521,560,127,31,15,7
2009,489896,5765,69558,188216,133185,61784,19826,6739,2673,1374,561,150,38,16,11
2010,484411,5354,66151,184591,131093,64350,21055,7114,2564,1305,617,159,36,17,5
2011,454972,5002,59252,174148,121396,61714,22043,6801,2485,1221,683,151,46,18,12
2012,455965,5052,57394,173708,120307,62807,24198,7654,2674,1196,751,137,56,20,11
2013,447631,5403,55102,169345,118009,61229,25640,8012,2777,1165,677,171,68,18,15
2014,430630,5338,52231,160527,113381,59027,26529,8544,2836,1194,661,250,77,24,11
2015,418565,5179,50974,154920,109715,57063,26762,8798,2950,1185,637,278,70,26,8
2016,405153,4877,50212,150197,105303,53970,26061,9244,3043,1206,594,333,72,27,12
2017,391750,4481,50103,146002,100216,51212,24888,9470,3096,1242,595,311,86,37,10
2018,371093,3887,48196,138966,94054,47596,23349,9575,3106,1253,611,355,100,32,13
2019,370969,3458,47627,139243,93060,47930,23129,10413,3446,1447,653,372,133,40,18
2020,319347,2943,43149,123519,78103,39795,18409,8477,2839,1120,553,255,120,47,17
2021,290926,2280,39341,114849,70170,35462,16283,7621,2873,1052,507,285,149,40,14
2022,279179,2003,35892,110203,67723,34909,15679,7540,3029,1141,548,287,144,55,26
