R4 人口動態統計 上巻 婚姻 第９．７表−１ 結婚生活に入ったときの年齢（５歳階級）別にみた初婚−再婚・夫−妻・年次別婚姻件数 （各届出年に結婚生活に入り届け出たもの）【初婚・妻】
year,total,~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~
1947,426965,72076,267575,72033,10065,2446,939,464,199,116,55,36,7,NaN,NaN
1950,308431,50190,196299,50307,7756,2242,816,352,187,82,50,16,13,NaN,NaN
1955,411062,33217,266534,94688,12366,2670,923,357,160,92,37,10,6,2,NaN
1960,553583,29426,332839,159303,24031,5600,1445,537,234,99,30,27,6,6,NaN
1965,688957,26972,439357,177962,30469,9541,3017,1045,344,154,60,25,7,4,NaN
1970,818316,33470,533842,208780,26285,9363,4164,1574,408,147,35,15,11,5,NaN
1975,783246,24315,459635,256383,28364,7763,3739,1938,739,194,78,31,13,16,NaN
1980,643514,20912,328761,238640,41169,8438,2757,1564,828,306,79,29,10,9,NaN
1985,610389,21602,280044,249594,41628,11907,2998,1302,800,352,113,30,14,4,NaN
1990,592262,22327,233032,270575,48641,11320,3814,1415,579,346,155,43,7,6,NaN
1995,647004,19271,233964,299855,72600,14676,3679,1661,699,328,151,81,25,10,NaN
2000,626764,21480,175387,308790,92933,20926,4351,1387,831,382,172,87,26,11,NaN
2001,622295,22064,165629,303861,100853,22392,4628,1428,805,347,157,82,33,16,NaN
2002,584455,20688,147868,281805,103333,23315,4814,1300,703,329,162,88,29,21,NaN
2003,562825,18960,134848,265619,109294,25827,5481,1399,726,364,157,88,35,22,NaN
2004,538892,17335,124798,248403,112018,27708,5817,1515,632,330,187,80,40,26,NaN
2005,529391,15434,119549,238978,115380,30728,6407,1724,564,339,166,62,38,20,NaN
2006,535682,15047,120200,235730,120039,34652,6953,1737,648,358,158,81,50,13,9
2007,519734,14178,113405,226364,117935,37087,7642,1811,640,350,160,96,40,17,8
2008,520955,13858,111386,223349,119745,40588,8693,2014,644,373,158,80,42,17,7
2009,503357,12557,103746,215424,115495,43015,9699,2117,705,291,171,79,28,19,11
2010,497645,11435,98523,212012,114827,46290,10742,2430,726,302,199,94,30,26,9
2011,467828,10821,88665,199375,107830,45392,11774,2582,743,303,196,78,44,12,13
2012,469716,10478,84940,198807,109504,47836,13640,2966,875,322,207,80,36,14,11
2013,461987,10653,81449,193735,108692,48361,14143,3366,941,314,173,100,31,15,14
2014,444244,10060,77184,184934,104824,47083,15069,3399,973,351,184,102,45,17,19
2015,432556,9399,74923,179062,101820,46304,15359,3814,1169,372,158,108,41,20,6
2016,418020,8832,73407,174108,97033,43533,15147,4025,1191,404,176,98,39,10,15
2017,404235,8063,72633,168675,92590,41148,14841,4242,1264,410,180,112,44,21,11
2018,382823,7080,68974,160556,86582,38874,14168,4374,1343,474,198,104,68,19,9
2019,382421,6194,67627,161074,86327,38970,14622,5026,1577,563,228,113,59,28,13
2020,328670,5256,59320,141559,71833,32307,11848,4245,1392,507,212,91,59,29,11
2021,299095,4225,53722,131006,64245,29013,10639,3893,1452,512,196,90,54,31,17
2022,287543,3607,48912,125860,63292,28646,10506,3956,1691,618,253,91,63,34,14
