令和4年(2022)人口動態統計(確定数)の概況表2-1人口動態総覧の年次推移
year,birth_num,marriage_num,devorce_num
1947,2678792,934170,79551
1948,2681624,953999,79032
1949,2696638,842170,82575
1950,2337507,715081,83689
1951,2137689,671905,82331
1952,2005162,676995,79021
1953,1868040,682077,75255
1954,1769580,697809,76759
1955,1730692,714861,75267
1956,1665278,715934,72040
1957,1566713,773362,71651
1958,1653469,826902,74004
1959,1626088,847135,72455
1960,1606041,866115,69410
1961,1589372,890158,69323
1962,1618616,928341,71394
1963,1659521,937516,69996
1964,1716761,963130,72306
1965,1823697,954852,77195
1966,1360974,940120,79432
1967,1935647,953096,83478
1968,1871839,956312,87327
1969,1889815,984142,91280
1970,1934239,1029405,95937
1971,2000973,1091229,103595
1972,2038682,1099984,108382
1973,2091983,1071923,111877
1974,2029989,1000455,113622
1975,1901440,941628,119135
1976,1832617,871543,124512
1977,1755100,821029,129485
1978,1708643,793257,132146
1979,1642580,788505,135250
1980,1576889,774702,141689
1981,1529455,776531,154221
1982,1515392,781252,163980
1983,1508687,762552,179150
1984,1489780,739991,178746
1985,1431577,735850,166640
1986,1382946,710962,166054
1987,1346658,696173,158227
1988,1314006,707716,153600
1989,1246802,708316,157811
1990,1221585,722138,157608
1991,1223245,742264,168969
1992,1208989,754441,179191
1993,1188282,792658,188297
1994,1238328,782738,195106
1995,1187064,791888,199016
1996,1206555,795080,206955
1997,1191665,775651,222635
1998,1203147,784595,243183
1999,1177669,762028,250529
2000,1190547,798138,264246
2001,1170662,799999,285911
2002,1153855,757331,289836
2003,1123610,740191,283854
2004,1110721,720418,270804
2005,1062530,714265,261917
2006,1092674,730973,257475
2007,1089818,719822,254832
2008,1091156,726106,251136
2009,1070036,707740,253354
2010,1071305,700222,251379
2011,1050807,661898,235720
2012,1037232,668870,235407
2013,1029817,660622,231385
2014,1003609,643783,222115
2015,1005721,635225,226238
2016,977242,620707,216856
2017,946146,606952,212296
2018,918400,586481,208333
2019,865239,599007,208496
2020,840835,525507,193253
2021,811622,501138,184384
2022,770759,504930,179099
2023,727277,474717,183808
