令和4年(2022)人口動態統計 (確定数)の概況表2-2人口動態総覧(率)の年次推移人口千対 
令和4年(2022)人口動態統計 上巻 婚姻 第9.5表 夫妻の初婚−再婚の組合せ別にみた年次別婚姻件数及び百分率
"年","人口千対出生率","人口千対婚姻率","人口千対離婚率","期間合計特殊出生率","夫婦ともに初婚割合","夫婦ともに再婚割合","妻初婚夫再婚割合","妻再婚夫初婚割合"
1947,34.3,12.0,1.02,4.54,NaN,NaN,NaN,NaN
1948,33.5,11.9,0.99,4.40,NaN,NaN,NaN,NaN
1949,33.0,10.3,1.01,4.32,NaN,NaN,NaN,NaN
1950,28.1,8.6,1.01,3.65,NaN,NaN,NaN,NaN
1951,25.3,7.9,0.97,3.26,NaN,NaN,NaN,NaN
1952,23.4,7.9,0.92,2.98,81.2,6.1,8.4,4.3
1953,21.5,7.8,0.86,2.69,NaN,NaN,NaN,NaN
1954,20.0,7.9,0.87,2.48,NaN,NaN,NaN,NaN
1955,19.4,8.0,0.84,2.37,84.2,4.7,7.6,3.4
1956,18.4,7.9,0.80,2.22,NaN,NaN,NaN,NaN
1957,17.2,8.5,0.79,2.04,NaN,NaN,NaN,NaN
1958,18.0,9.0,0.80,2.11,NaN,NaN,NaN,NaN
1959,17.5,9.1,0.78,2.04,NaN,NaN,NaN,NaN
1960,17.2,9.3,0.74,2.00,87.6,3.5,6.3,2.7
1961,16.9,9.4,0.74,1.96,NaN,NaN,NaN,NaN
1962,17.0,9.8,0.75,1.98,NaN,NaN,NaN,NaN
1963,17.3,9.7,0.73,2.00,NaN,NaN,NaN,NaN
1964,17.7,9.9,0.74,2.05,NaN,NaN,NaN,NaN
1965,18.6,9.7,0.79,2.14,88.8,3.1,5.5,2.6
1966,13.7,9.5,0.80,1.58,88.8,3.1,5.4,2.7
1967,19.4,9.6,0.84,2.23,88.7,3.1,5.4,2.8
1968,18.6,9.5,0.87,2.13,89.0,3.1,5.2,2.7
1969,18.5,9.6,0.89,2.13,88.9,3.2,5.2,2.8
1970,18.8,10.0,0.93,2.13,88.9,3.2,5.1,2.8
1971,19.2,10.5,0.99,2.16,89.2,3.1,4.9,2.8
1972,19.3,10.4,1.02,2.14,89.0,3.2,4.9,2.9
1973,19.4,9.9,1.04,2.14,88.6,3.4,4.9,3.1
1974,18.6,9.1,1.04,2.05,87.8,3.7,5.2,3.4
1975,17.1,8.5,1.07,1.91,87.3,3.9,5.2,3.6
1976,16.3,7.8,1.11,1.85,86.6,4.3,5.3,3.8
1977,15.5,7.2,1.14,1.80,86.0,4.6,5.5,4.0
1978,14.9,6.9,1.15,1.79,85.5,4.8,5.6,4.1
1979,14.2,6.8,1.17,1.77,85.1,5.0,5.7,4.2
1980,13.6,6.7,1.22,1.75,84.9,5.1,5.7,4.3
1981,13.0,6.6,1.32,1.74,84.8,5.3,5.6,4.3
1982,12.8,6.6,1.39,1.77,84.5,5.5,5.7,4.3
1983,12.7,6.4,1.51,1.80,84.3,5.7,5.8,4.3
1984,12.5,6.2,1.50,1.81,83.8,6.0,5.8,4.4
1985,11.9,6.1,1.39,1.76,83.4,6.3,5.9,4.5
1986,11.4,5.9,1.37,1.72,82.7,6.7,6.0,4.6
1987,11.1,5.7,1.30,1.69,82.2,6.9,6.1,4.8
1988,10.8,5.8,1.26,1.66,81.8,7.0,6.3,4.9
1989,10.2,5.8,1.29,1.57,81.4,7.0,6.6,4.9
1990,10.0,5.9,1.28,1.54,81.7,6.8,6.6,4.9
1991,9.9,6.0,1.37,1.53,82.2,6.6,6.4,4.8
1992,9.8,6.1,1.45,1.50,82.4,6.5,6.4,4.7
1993,9.6,6.4,1.52,1.46,82.6,6.3,6.4,4.8
1994,10.0,6.3,1.57,1.50,82.1,6.4,6.5,5.0
1995,9.6,6.4,1.60,1.42,81.6,6.5,6.8,5.1
1996,9.7,6.4,1.66,1.43,81.4,6.5,6.8,5.2
1997,9.5,6.2,1.78,1.39,80.9,6.7,6.9,5.4
1998,9.6,6.3,1.94,1.38,80.5,6.8,7.1,5.6
