令和4年(2022)人口動態統計(確定数)の概況表4(3)母の年齢(5歳階級)・出生順位別
mother_age,2022_total,2022_1,2022_2,2022_3,2021_total,2021_1,2021_2,2021_3
total,770759,355523,281418,133818,811622,372434,294444,144744
~14,27,27,NaN,NaN,32,32,NaN,NaN
15~19,4531,4028,463,40,5510,4878,597,35
20~24,52850,35618,14173,3059,59896,39968,16317,3611
25~29,202505,121793,60785,19927,210433,125186,63424,21823
30~34,279517,118821,112811,47885,292439,122733,117022,52684
35~39,183327,58870,74651,49806,193177,62506,77678,52993
40~44,46338,15654,18008,12676,48517,16524,18865,13128
45~49,1600,662,514,424,1597,595,535,467
50~,58,44,13,1,20,11,6,3
