R4 人口動態統計 上巻 離婚 第１０．５表 年次別にみた同居期間別離婚件数及び百分率並びに平均同居期間
year,total,~5,~1,1~2,2~3,3~4,4~5,5~10,10~15,15~20,20~25,25~30,30~35,35~,unknown,mean
1947,79551,48505,11184,11645,8639,9649,7388,18525,6766,3036,2479,NaN,NaN,NaN,240,5.5
1950,83689,54014,14255,15272,11661,7956,4870,14871,7285,3655,2925,NaN,NaN,NaN,939,5.3
1955,75267,40493,11198,9949,7575,6239,5532,19879,7678,3933,3231,NaN,NaN,NaN,53,6.3
1960,69410,37433,11345,9327,6844,5359,4558,15313,9740,3836,3037,NaN,NaN,NaN,51,6.5
1965,77195,41965,12540,9849,7777,6421,5378,17326,9092,5382,3355,NaN,NaN,NaN,75,6.5
1970,95937,49489,14523,11149,9193,7772,6852,23299,11898,5858,5072,NaN,NaN,NaN,321,6.8
1975,119135,58336,14773,13014,11731,10141,8677,28597,16206,8172,4050,1894,566,300,1014,7.1
1980,141689,52597,12990,11430,10209,9204,8764,39034,24425,14089,6573,2682,1164,463,662,8.6
1985,166640,56442,12656,12817,11710,10434,8825,35338,32310,21528,12706,4827,1793,1108,588,10.1
1990,157608,59676,13066,14387,12325,10452,9446,33169,21988,19925,12801,5767,1964,1185,1133,9.9
1995,199016,76710,14893,18081,16591,14576,12569,41185,25308,19153,17847,8684,3506,1840,4783,10
2000,264246,96212,17522,21748,21093,18956,16893,58204,33023,24325,18701,13402,5839,3882,10658,10.3
2001,285911,102833,18422,23167,22390,20601,18253,65155,36855,26195,19021,13363,6318,4290,11881,10.2
2002,289836,99682,18368,22805,21595,19419,17495,64479,39031,27300,20417,13531,6969,4619,13808,10.5
2003,283854,96825,16932,21907,21937,19372,16677,62661,39089,26718,20308,12742,7032,4963,13516,10.6
2004,270804,93926,17276,20557,20398,18971,16724,58923,36701,25317,19041,11449,6758,4710,13979,10.5
2005,261917,90885,16558,20159,19435,18144,16589,57562,35093,24885,18401,10747,6453,4794,13097,10.4
2006,257475,89655,17348,19535,18918,17425,16429,58002,34740,23675,17059,10029,5947,4747,13621,10.3
2007,254832,86607,17206,19617,18162,16572,15050,56335,33693,24166,17789,10796,6261,5507,13678,10.6
2008,251136,84198,16668,19115,17999,15812,14604,55004,33606,24264,16932,10673,5867,5448,15144,10.6
2009,253354,84683,16584,19480,18250,16188,14181,53652,34180,24983,17296,10976,5950,5874,15760,10.8
2010,251379,82891,15697,18796,17735,16193,14470,53450,34862,25618,17413,10749,5729,6193,14474,10.9
2011,235720,76893,14594,16935,16563,14989,13812,49218,32979,24133,16497,10137,5244,5913,14706,10.9
2012,235407,76129,14459,16810,16010,14961,13889,48437,33047,24463,17324,10149,5163,5921,14774,11
2013,231385,74035,14333,16374,15424,14533,13371,48423,32554,23660,17045,9678,5203,6106,14681,11.1
2014,222115,70057,13500,15779,14910,13489,12379,46391,30841,22906,16535,9382,5034,5820,15149,11.1
2015,226238,71729,13865,16272,15352,13810,12430,47086,31112,23942,17051,10014,5315,6268,13721,11.3
2016,216856,68028,13159,15335,14503,13303,11728,44407,29537,22995,16859,9750,5041,5959,14280,11.3
2017,212296,66502,12896,15283,14315,12786,11222,42339,28232,22956,17255,10129,4959,5945,13979,11.5
2018,208333,64862,12327,14623,14146,12588,11178,40863,27597,22460,17125,10247,5031,6134,14014,11.6
2019,208496,63826,11834,14513,13634,12612,11233,40052,27220,22629,17827,10924,5283,6362,14373,11.9
2020,193253,58846,10973,13400,12588,11627,10258,36572,25557,21008,17321,10517,5035,6108,12289,12
2021,184384,54510,9853,12701,12043,10535,9378,34114,24331,19793,16862,10766,5028,6312,12668,12.3
2022,179099,52606,8971,11278,11965,11059,9333,33141,22573,18894,16404,10829,5192,6566,12894,12.5
