year,all-husband,all-wife,first-husband,first-wife,diff-all,diff-first
1899,27.6,23,NaN,NaN,4.6,NaN
1900,27.7,23.1,NaN,NaN,4.6,NaN
1901,27.7,23.2,NaN,NaN,4.5,NaN
1902,27.8,23.2,NaN,NaN,4.6,NaN
1903,27.9,23.3,NaN,NaN,4.6,NaN
1904,27.9,23.5,NaN,NaN,4.4,NaN
1905,28.6,24,NaN,NaN,4.6,NaN
1906,28.8,24,NaN,NaN,4.8,NaN
1907,28.4,23.8,NaN,NaN,4.6,NaN
1908,28.5,23.9,26.8,22.9,4.6,3.9
1909,28.6,23.9,26.9,22.9,4.7,4
1910,28.7,24,27,23,4.7,4
1911,28.7,24,26.9,22.9,4.7,4
1912,28.7,24,27,22.9,4.7,4.1
1913,28.7,24,27,22.9,4.7,4.1
1914,28.7,24,27.1,23,4.7,4.1
1915,29.1,24.3,27.4,23.2,4.8,4.2
1916,28.9,24,27.1,23,4.9,4.1
1917,28.9,24.1,27.2,23.1,4.8,4.1
1918,29.2,24.3,27.3,23.2,4.9,4.1
1919,29.2,24.4,27.4,23.3,4.8,4.1
1920,29.2,24.2,27.4,23.2,5,4.2
1921,28.9,24,27.1,23,4.9,4.1
1922,28.8,24,27.1,23,4.8,4.1
1923,28.7,23.9,27,23,4.8,4
1924,28.7,24,27.1,23.1,4.7,4
1925,28.8,24,27.1,23.1,4.8,4
1926,28.8,24,27.1,23.1,4.8,4
1927,28.8,24,27.2,23.1,4.8,4.1
1928,28.8,24,27.3,23.1,4.8,4.2
1929,28.9,24.1,27.4,23.2,4.8,4.2
1930,28.9,24.1,27.3,23.2,4.8,4.1
1931,28.8,24.1,27.3,23.3,4.7,4
1932,28.9,24.2,27.4,23.1,4.7,4
1933,29.1,24.4,27.6,23.6,4.7,4
1934,29.2,24.5,27.7,23.7,4.7,4
1935,29,24.6,27.8,23.8,4.4,4
1936,29.3,24.7,27.9,23.9,4.6,4
1937,29.4,25,28.1,24.2,4.4,3.9
1938,30,25.3,28.4,24.4,4.7,4
1939,29.8,25,28.7,24.5,4.8,4.2
1940,30,24.9,29,24.6,5.1,4.4
1941,29.6,24.6,28.7,24.3,5,4.4
1942,31.2,26,29.8,25.3,5.2,4.5
1943,31,26.1,29.5,25,4.9,4.5
1947,NaN,NaN,26.1,22.9,NaN,3.2
1948,NaN,NaN,26.1,23,NaN,3.1
1949,NaN,NaN,25.9,22.9,NaN,3
1950,NaN,NaN,25.9,23,NaN,2.9
1951,NaN,NaN,25.9,23.1,NaN,2.8
1952,27.3,23.9,26.1,23.3,3.4,2.8
1953,27.4,24,26.2,23.4,3.4,2.8
1954,27.5,24.1,26.4,23.6,3.4,2.8
1955,27.7,24.3,26.6,23.8,3.4,2.8
1956,27.8,24.4,26.8,23.9,3.4,2.9
1957,27.9,24.5,26.9,24,3.4,2.9
1958,27.9,24.6,27,24.2,3.3,2.8
1959,28,24.7,27.1,24.3,3.3,2.8
1960,28.1,24.8,27.2,24.4,3.3,2.8
1961,28.1,24.8,27.3,24.5,3.3,2.8
1962,28.1,24.8,27.3,24.5,3.3,2.8
1963,28.1,24.8,27.3,24.5,3.3,2.8
1964,28.1,24.8,27.3,24.4,3.3,2.9
1965,28.1,24.9,27.2,24.5,3.2,2.7
1966,28.1,24.9,27.3,24.5,3.2,2.8
1967,28,24.9,27.2,24.5,3.1,2.7
1968,27.9,24.8,27.2,24.4,3.1,2.8
1969,27.8,24.7,27.1,24.3,3.1,2.8
1970,27.6,24.6,26.9,24.2,3,2.7
1971,27.5,24.5,26.8,24.2,3,2.6
1972,27.4,24.7,26.7,24.2,2.7,2.5
1973,27.4,24.7,26.7,24.3,2.7,2.4
1974,27.6,25,26.8,24.5,2.6,2.3
1975,27.8,25.2,27,24.7,2.6,2.3
1976,28,25.4,27.2,24.9,2.6,2.3
1977,28.2,25.6,27.4,25,2.6,2.4
1978,28.5,25.7,27.6,25.1,2.8,2.5
1979,28.6,25.8,27.7,25.2,2.8,2.5
1980,28.7,25.9,27.8,25.2,2.8,2.6
1981,28.9,26,27.9,25.3,2.8,2.6
1982,29,26.1,28,25.3,2.9,2.7
1983,29,26.1,28,25.4,2.9,2.7
1984,29.1,26.2,28.1,25.4,2.9,2.7
1985,29.3,26.4,28.2,25.5,2.9,2.7
1986,29.5,26.5,28.3,25.6,2.9,2.7
1987,29.6,26.7,28.4,25.7,2.9,2.7
1988,29.7,26.8,28.4,25.8,2.9,2.6
1989,29.8,26.9,28.5,25.8,2.9,2.6
1990,29.7,26.9,28.4,25.9,2.8,2.5
1991,29.6,26.9,28.4,25.9,2.8,2.5
1992,29.7,27,28.4,26,2.7,2.4
1993,29.7,27.1,28.4,26.1,2.6,2.3
1994,29.8,27.2,28.5,26.2,2.6,2.3
1995,29.8,27.3,28.5,26.3,2.5,2.2
1996,29.9,27.5,28.5,26.4,2.4,2.1
1997,29.9,27.6,28.5,26.6,2.3,1.9
1998,30,27.7,28.6,26.7,2.3,1.9
1999,30.2,27.9,28.7,26.8,2.3,1.9
2000,30.4,28.2,28.8,27,2.2,1.8
2001,30.6,28.4,29,27.2,2.2,1.8
2002,30.8,28.6,29.1,27.4,2.2,1.8
2003,31.2,29,29.4,27.6,2.2,1.8
2004,31.5,29.2,29.6,27.8,2.3,1.8
2005,31.7,29.4,29.8,28,2.3,1.8
2006,32,29.6,30,28.2,2.4,1.8
2007,32.1,29.8,30.1,28.3,2.3,1.8
2008,32.2,29.9,30.2,28.5,2.3,1.8
2009,32.4,30.1,30.4,28.6,2.3,1.8
2010,32.5,30.3,30.5,28.8,2.2,1.7
2011,32.7,30.5,30.7,29,2.2,1.7
2012,32.9,30.7,30.8,29.2,2.2,1.7
2013,33,30.8,30.9,29.3,2.2,1.7
2014,33.2,30.9,31.1,29.4,2.2,1.7
2015,33.3,31.1,31.1,29.4,2.2,1.7
2016,33.3,31.1,31.1,29.4,2.2,1.7
2017,33.4,31.1,31.1,29.4,2.3,1.7
2018,33.5,31.2,31.1,29.4,2.3,1.7
2019,33.6,31.4,31.2,29.6,2.2,1.7
2020,33.4,31.3,31,29.4,2.1,1.5
2021,33.5,31.4,31,29.5,2,1.5
2022,33.7,31.7,31.1,29.7,2.1,1.5
