R4 人口動態統計 上巻 婚姻 第9.9表-2
age,total_marriage,man_first,man_re,wman_first,man_first_in_wman_first,man_re_in_wman_first,wman_re,man_first_in_wman_re,man_first_in_wman_re
total,344823,279179,65644,287543,255895,31648,57280,23284,33996
~19,3634,3371,263,3607,3355,252,27,16,11
20~24,50405,46784,3621,48912,45854,3058,1493,930,563
25~29,132341,122394,9947,125860,118404,7456,6481,3990,2491
30~34,73946,61391,12555,63292,55407,7885,10654,5984,4670
35~39,39371,27684,11687,28646,22529,6117,10725,5155,5570
40~44,18352,10141,8211,10506,7146,3360,7846,2995,4851
45~49,10956,4054,6902,3956,2120,1836,7000,1934,5066
50~54,7513,2037,5476,1691,725,966,5822,1312,4510
55~59,3859,754,3105,618,225,393,3241,529,2712
60~64,1979,304,1675,253,76,177,1726,228,1498
65~69,1021,116,905,91,26,65,930,90,840
70~74,832,86,746,63,12,51,769,74,695
75~79,399,44,355,34,12,22,365,32,333
80~,215,19,196,14,4,10,201,15,186
