R4 人口動態統計 上巻 婚姻 第９．６表 前婚解消後から再婚までの期間別にみた夫・年次別再婚件数百分率 （各届出年に結婚生活に入り届け出たもの）
period,1970,1975,1980,1985,1990,1995,2000,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
~1,40.1,35.3,29.8,26.2,23.5,24.9,23.9,20.4,19.2,18.9,18.1,17.7,16.8,16.2,16,15.9,15.7,15.6,15.3,15.1,14.9,14.6,14.3,13.7
1~2,24.6,24.2,22,20.3,16.9,16.8,16.7,15,14.2,13.8,13.5,13.4,13.7,13,13.1,13.1,12.8,13,13,12.8,12.7,13,12.8,12.3
2~3,12.9,14.9,14.9,14.6,12.7,13.2,13.4,12.9,11.7,11.6,11.4,11.5,11.4,11.6,11.3,11.1,11.2,11,11,11.1,10.9,11.2,11.2,11
3~4,7.2,8.7,10.3,10.5,10.2,9.6,9.9,10.9,10.2,9.8,9.7,9.7,9.6,9.8,9.6,9.2,9.4,9.3,9.4,9.3,9.4,9,9.2,9.5
4~5,4.4,5.2,7.2,7.8,8.1,7.2,7.4,8.7,8.8,8.5,8.1,8.2,8.1,8,8,8.1,7.8,7.8,7.9,7.6,7.8,7.9,7.7,7.6
5~6,2.9,3.3,4.6,5.4,6.3,5.3,5.8,6.6,7.5,7.3,7.1,6.9,6.9,6.9,6.8,6.7,6.7,6.7,6.3,6.5,6.3,6.5,6.5,6.6
6~7,1.9,2.2,3.3,3.9,5.3,4.4,4.5,5.2,5.9,6.1,6.1,5.9,5.9,5.8,5.8,5.7,5.5,5.7,5.5,5.6,5.4,5.4,5.4,5.5
7~8,1.2,1.5,2.2,3,4.1,3.4,3.6,4.1,4.5,5,5.2,5.1,4.9,4.9,4.8,4.7,4.7,4.7,4.8,4.7,4.5,4.6,4.5,4.6
8~9,0.9,1.1,1.6,2.2,3,2.8,2.7,3.2,3.6,3.8,4.3,4.3,4.4,4.2,4.1,4.2,4.1,3.9,4.1,4.1,3.9,3.7,4,3.9
9~10,0.7,0.8,1.1,1.6,2.3,2.4,2,2.4,2.8,2.9,3.1,3.5,3.7,3.6,3.6,3.3,3.5,3.4,3.3,3.4,3.3,3.1,3.3,3.3
10~,3.3,2.8,3.1,4.5,7.5,10,10.1,10.7,11.6,12.4,13.3,13.6,14.7,16.1,17,17.9,18.4,18.9,19.4,19.9,21,20.9,21.1,22.2
