R4 人口動態統計 上巻 婚姻 第９．６表 前婚解消後から再婚までの期間別にみた妻・年次別再婚件数百分率 （各届出年に結婚生活に入り届け出たもの）
period,total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
~1,24.2,26.7,23.9,21.8,20.2,21,20.7,16.8,16.1,15.8,15.8,15,14.3,13.4,13,12.7,12.9,13.3,13,13.1,12.9,12.7,11.9,11.8
1~2,23.1,22.5,20.9,20.5,17.3,17.6,17.7,15.6,14.7,14.1,14.1,14,13.7,13.2,12.7,13.2,12.5,12.7,12.5,12.2,12,12.3,11.8,10.9
2~3,14.3,14.5,14.4,14.4,12.5,13.3,13.3,13.4,12,11.9,11.4,11.4,11.5,11.6,11.3,10.8,10.9,10.8,11.1,10.7,10.5,10.4,10.9,10.5
3~4,9.3,9.7,10.2,10.4,10.1,9.7,10.4,11.5,10.4,10,10,9.7,9.6,9.6,9.7,9.4,9.3,9.3,9.3,9.6,9.1,9.1,9,9.2
4~5,6.4,6.4,7.5,7.4,7.9,7.2,7.6,9.2,9.2,8.8,8.4,8.3,8.2,8.2,8.2,8.1,8.1,7.8,7.7,7.7,7.8,7.7,7.8,7.5
5~6,4.6,4.4,5.5,5.4,6.4,5.6,5.9,6.8,7.8,7.8,7.3,7.2,6.9,6.9,7.1,7,6.8,6.7,6.5,6.7,6.5,6.5,6.6,6.5
6~7,3.3,3.2,3.9,4.3,5.5,4.3,4.5,5.3,6.3,6.4,6.1,6,6,5.9,5.8,5.7,5.7,5.7,5.5,5.4,5.4,5.3,5.5,5.5
7~8,2.4,2.4,2.9,3.4,4.1,3.5,3.4,4.1,4.6,5.1,5.3,5.3,5,4.9,5,5,4.8,5,4.8,4.6,4.6,4.6,4.6,4.7
8~9,1.9,1.8,2.3,2.5,3.1,2.8,2.6,3.2,3.8,3.8,4.2,4.4,4.4,4.4,4.2,4.2,4,4,4,4,3.8,3.8,3.8,3.9
9~10,1.5,1.4,1.6,2,2.6,2.4,2.2,2.4,2.9,3.1,3.2,3.6,3.9,3.8,3.8,3.5,3.7,3.5,3.3,3.3,3.5,3.3,3.4,3.4
10~,9,7,6.9,8.1,10.4,12.5,11.6,11.7,12.4,13.3,14.1,15.1,16.6,18.2,19.3,20.3,21.1,21.4,22.3,22.8,23.8,24.2,24.7,26.2
