令和4年(2022)人口動態統計(確定数)の概況表2-2人口動態総覧(率)の年次推移人口千対
year,birth_rate,marriage_rate,divorce_rate,tfr
1947,34.3,12.0,1.02,4.54
1948,33.5,11.9,0.99,4.40
1949,33.0,10.3,1.01,4.32													
1950,28.1,8.6,1.01,3.65
1951,25.3,7.9,0.97,3.26
1952,23.4,7.9,0.92,2.98
1953,21.5,7.8,0.86,2.69
1954,20.0,7.9,0.87,2.48													
1955,19.4,8.0,0.84,2.37
1956,18.4,7.9,0.80,2.22
1957,17.2,8.5,0.79,2.04
1958,18.0,9.0,0.80,2.11
1959,17.5,9.1,0.78,2.04													
1960,17.2,9.3,0.74,2.00
1961,16.9,9.4,0.74,1.96
1962,17.0,9.8,0.75,1.98
1963,17.3,9.7,0.73,2.00
1964,17.7,9.9,0.74,2.05													
1965,18.6,9.7,0.79,2.14
1966,13.7,9.5,0.80,1.58
1967,19.4,9.6,0.84,2.23
1968,18.6,9.5,0.87,2.13
1969,18.5,9.6,0.89,2.13													
1970,18.8,10.0,0.93,2.13
1971,19.2,10.5,0.99,2.16
1972,19.3,10.4,1.02,2.14
1973,19.4,9.9,1.04,2.14
1974,18.6,9.1,1.04,2.05													
1975,17.1,8.5,1.07,1.91
1976,16.3,7.8,1.11,1.85
1977,15.5,7.2,1.14,1.80
1978,14.9,6.9,1.15,1.79
1979,14.2,6.8,1.17,1.77															
1980,13.6,6.7,1.22,1.75
1981,13.0,6.6,1.32,1.74
1982,12.8,6.6,1.39,1.77
1983,12.7,6.4,1.51,1.80
1984,12.5,6.2,1.50,1.81	
1985,11.9,6.1,1.39,1.76
1986,11.4,5.9,1.37,1.72
1987,11.1,5.7,1.30,1.69
1988,10.8,5.8,1.26,1.66
1989,10.2,5.8,1.29,1.57
1990,10.0,5.9,1.28,1.54
1991,9.9,6.0,1.37,1.53
1992,9.8,6.1,1.45,1.50
1993,9.6,6.4,1.52,1.46
1994,10.0,6.3,1.57,1.50
1995,9.6,6.4,1.60,1.42
1996,9.7,6.4,1.66,1.43
1997,9.5,6.2,1.78,1.39
1998,9.6,6.3,1.94,1.38
1999,9.4,6.1,2.00,1.34
2000,9.5,6.4,2.10,1.36
2001,9.3,6.4,2.27,1.33
2002,9.2,6.0,2.30,1.32
2003,8.9,5.9,2.25,1.29
2004,8.8,5.7,2.15,1.29
2005,8.4,5.7,2.08,1.26
2006,8.7,5.8,2.04,1.32
2007,8.6,5.7,2.02,1.34
2008,8.7,5.8,1.99,1.37
2009,8.5,5.6,2.01,1.37
2010,8.5,5.5,1.99,1.39
2011,8.3,5.2,1.87,1.39
2012,8.2,5.3,1.87,1.41
2013,8.2,5.3,1.84,1.43
2014,8.0,5.1,1.77,1.42
2015,8.0,5.1,1.81,1.45
2016,7.8,5.0,1.73,1.44
2017,7.6,4.9,1.70,1.43
2018,7.4,4.7,1.68,1.42
2019,7.0,4.8,1.69,1.36											
2020,6.8,4.3,1.57,1.33
2021,6.6,4.1,1.50,1.30
2022,6.3,4.1,1.47,1.26
